Numurs,stils,dizains,Jauns,Apkārtne,Mēbeles,Santehnika,Gads,Atsauksmes,Atrašanās vieta,Guļamistabas,Gultas,Cena,Numura kvadratr,Vesels mājoklis,Iekļautas brokastis,Iekļauts SPA,Terase,Sauna,Autostavveita,Wi-fi,Veļas mazgājamā masīna,Virtuve,Dārzs,Grils,Privāta vannas istaba,baseins,restorāns,apkalpošana numura,brokastis,bārs
53,10,10,10,10,8,9,2010,8.8,9.2,0,2,243,78,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
54,7,7,7,7,7,5,2020,8.8,8.6,0,2,48,21,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
55,7,7,7,7,7,5,2020,8.8,8.6,0,2,60,21,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
56,7,7,7,7,7,5,2020,8.8,8.6,0,3,80,25,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
57,7,7,7,7,7,5,2020,8.8,8.6,0,3,94,25,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
58,7,7,7,7,7,5,2020,8.8,8.6,0,3,100,25,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
59,7,7,7,7,7,5,2020,8.8,8.6,0,4,100,19,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
60,7,7,7,10,7,7,2010,8.6,9.2,0,2,55,17,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
61,7,7,7,10,7,7,2010,8.6,9.2,0,2,75,32,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
62,7,7,7,10,7,7,2010,8.6,9.2,0,2,115,30,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
63,7,7,7,10,7,7,2010,8.6,9.2,0,2,150,147,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
64,8,8,8,8,8,8,2010,8.5,9.3,1,4,78,49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
65,8,8,8,8,8,8,2010,8.5,9.3,1,3,132,49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
66,8,8,8,8,8,8,2010,8.5,9.3,1,4,84,49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
67,8,8,8,8,8,8,2010,8.5,9.3,1,4,120,49,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
68,8,8,8,10,8,8,2013,9.1,9,1,2,52,45,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0
69,8,8,8,10,8,8,2013,9.1,9,1,3,57,45,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0
70,8,8,8,10,8,8,2013,9.1,9,1,3,82,75,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0
71,8,8,8,10,8,8,2013,9.1,9,1,4,87,75,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0
72,7,7,7,5,7,7,2012,8.2,9,0,2,27,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
73,7,7,7,5,7,7,2012,8.2,9,0,3,32,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
74,9,9,9,10,9,9,2013,8.9,9.4,2,3,75,18,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
75,9,9,9,10,9,9,2013,8.9,9.4,0,2,85,20,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
76,7,8,7,8,8,8,2014,8.6,8.7,0,2,63,19,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
77,7,8,7,8,8,8,2014,8.6,8.7,0,2,70,20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
78,7,8,7,8,8,8,2014,8.6,8.7,0,2,73,33,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
79,7,8,7,8,8,8,2014,8.6,8.7,0,2,80,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
80,7,8,7,8,8,8,2014,8.6,8.7,0,3,93,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
81,7,8,7,8,8,8,2014,8.6,8.7,0,2,90,46,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
82,7,8,7,8,8,8,2014,8.6,8.7,0,3,103,46,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
83,7,8,7,8,8,8,2014,8.6,8.7,0,4,116,46,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
84,9,9,9,10,9,9,2015,9.1,9,0,2,60,18,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
85,9,9,9,10,9,9,2015,9.1,9,0,2,65,21,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
86,9,9,9,10,9,9,2015,9.1,9,0,2,75,25,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
87,9,9,9,10,9,9,2015,9.1,9,0,2,90,21,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
88,7,7,6,9,7,8,2008,7.9,8.7,0,2,68,18,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
89,7,7,6,9,7,8,2008,7.9,8.7,0,2,87,18,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
90,7,7,6,9,7,8,2008,7.9,8.7,0,2,95,20,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
91,7,7,6,9,7,8,2008,7.9,8.7,0,2,109,26,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
92,7,7,6,9,7,8,2008,7.9,8.7,0,2,118,26,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
93,7,7,6,9,7,8,2008,7.9,8.7,0,2,125,32,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
94,7,7,6,9,7,8,2008,7.9,8.7,1,2,140,38,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
95,7,7,6,9,7,8,2008,7.9,8.7,1,2,145,38,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
96,7,7,6,9,7,8,2008,7.9,8.7,1,2,153,37,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
97,7,7,6,9,7,8,2008,7.9,8.7,1,2,165,45,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
98,7,7,6,9,7,8,2008,7.9,8.7,1,2,170,44,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0
99,7,8,7,8,8,8,2016,8.8,9.3,0,2,68,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
100,7,8,7,8,8,8,2016,8.8,9.3,0,2,70,20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
101,7,8,7,8,8,8,2016,8.8,9.3,0,2,73,33,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
102,7,8,7,8,8,8,2016,8.8,9.3,0,2,80,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
103,7,8,7,8,8,8,2016,8.8,9.3,0,3,90,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
104,7,8,7,8,8,8,2016,8.8,9.3,0,2,87,35,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
105,7,8,7,8,8,8,2016,8.8,9.3,0,3,93,36,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
106,7,8,7,8,8,8,2016,8.8,9.3,0,3,100,35,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
107,7,8,7,8,8,8,2016,8.8,9.3,0,4,113,35,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
108,9,9,9,9,9,9,2007,8.6,9.4,0,2,80,20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
109,9,9,9,9,9,9,2007,8.6,9.4,0,2,98,23,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
110,9,9,9,9,9,9,2007,8.6,9.4,0,2,116,29,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
111,9,9,9,9,9,9,2007,8.6,9.4,0,3,151,29,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
112,8,9,8,9,8,7,2013,9.3,9.3,0,2,50,15,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
113,8,9,8,9,8,7,2013,9.3,9.3,0,2,50,18,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
114,8,9,8,9,8,7,2013,9.3,9.3,0,4,80,40,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
115,10,10,7,10,10,10,2007,9,9.2,0,2,123,22,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
116,10,10,7,10,10,10,2007,9,9.2,0,2,98,25,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
117,10,10,7,10,10,10,2007,9,9.2,0,2,100,22,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
118,10,10,7,10,10,10,2007,9,9.2,0,2,119,44,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
119,10,10,7,10,10,10,2007,9,9.2,2,2,204,110,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
120,10,10,7,10,10,10,2007,9,9.2,0,3,119,24,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
121,10,10,7,10,10,10,2012,8.7,9.6,0,2,145,15,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
122,10,10,7,10,10,10,2012,8.7,9.6,0,2,215,21,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
123,10,10,7,10,10,10,2012,8.7,9.6,0,2,240,33,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
124,10,10,7,10,10,10,2012,8.7,9.6,0,2,260,44,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
125,10,10,7,10,10,10,2012,8.7,9.6,0,2,330,39,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
126,10,10,7,10,10,10,2012,8.7,9.6,0,4,450,70,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
127,10,10,7,10,10,10,2012,8.7,9.6,3,6,715,156,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1
128,7,7,7,7,7,7,2010,8.2,9.4,0,2,65,18,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
129,9,9,9,8,9,9,2009,8.9,9.2,0,2,49,15,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
130,9,9,9,8,9,9,2009,8.9,9.2,0,2,69,15,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
131,9,9,9,8,9,9,2009,8.9,9.2,0,2,66,15,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
132,9,9,9,8,9,9,2009,8.9,9.2,0,2,83,15,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
133,9,9,9,8,9,9,2009,8.9,9.2,0,2,118,34,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
134,9,9,9,8,9,9,2009,8.9,9.2,0,2,132,34,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
135,9,9,9,8,9,9,2009,8.9,9.2,0,2,138,45,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
136,9,9,9,8,9,9,2009,8.9,9.2,0,2,150,45,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
137,9,9,9,8,9,9,2009,8.9,9.2,1,2,164,52,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
138,9,9,9,8,9,9,2009,8.9,9.2,1,2,175,52,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
139,7,7,7,7,7,7,2010,9,8.9,0,4,75,80,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
140,7,7,7,7,7,7,2010,9,8.9,0,4,87,80,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
141,7,7,7,7,7,7,2010,9,8.9,0,5,90,80,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
142,10,10,8,10,10,10,2009,8.9,9.3,0,2,55,18,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
143,9,9,9,9,9,9,2010,9.1,9.4,0,2,71,19,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
144,9,9,9,9,9,9,2010,9.1,9.4,0,2,119,19,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
145,9,9,9,9,9,9,2010,9.1,9.4,0,2,78,26,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
146,9,9,9,9,9,9,2010,9.1,9.4,0,2,125,26,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
147,9,9,9,9,9,9,2010,9.1,9.4,0,2,82,35,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
148,9,9,9,9,9,9,2010,9.1,9.4,0,2,131,35,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
149,9,9,9,9,9,9,2010,9.1,9.4,0,2,88,35,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
150,9,9,9,9,9,9,2010,9.1,9.4,0,2,137,35,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
151,9,9,9,9,9,9,2010,9.1,9.4,0,2,125,40,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
152,9,9,9,9,9,9,2010,9.1,9.4,0,2,178,40,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
153,9,9,9,9,9,9,2010,9.1,9.4,0,3,92,35,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
154,9,9,9,9,9,9,2010,9.1,9.4,1,3,132,45,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
155,9,9,9,9,9,9,2010,9.1,9.4,0,4,119,48,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
156,9,9,9,9,9,9,2010,9.1,9.4,0,4,141,40,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
157,8,8,5,8,8,8,2010,8.6,9.2,0,2,82,20,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
158,5,5,5,5,5,5,2012,8.9,9.4,0,2,52,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
159,5,5,5,5,5,5,2012,8.9,9.4,0,3,63,25,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
160,5,5,5,5,5,5,2012,8.9,9.4,0,4,86,31,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
161,8,8,8,8,8,8,2021,8.1,8.3,0,2,112,16,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
162,8,8,8,8,8,8,2021,8.1,8.3,2,4,208,50,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
163,8,8,8,8,8,8,2021,8.1,8.3,0,5,195,30,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
164,10,10,10,10,10,10,2019,9.4,9.7,0,2,71,22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
165,10,10,10,10,10,10,2019,9.4,9.7,0,2,98,22,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
166,10,10,10,10,10,10,2019,9.4,9.7,0,2,85,28,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
167,10,10,10,10,10,10,2019,9.4,9.7,0,2,111,45,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
168,10,10,10,10,10,10,2019,9.4,9.7,0,2,136,35,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
169,10,10,10,10,10,10,2019,9.4,9.7,0,2,153,53,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
170,10,10,10,10,10,10,2019,9.4,9.7,0,2,170,38,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
171,9,9,9,9,6,6,2011,9.6,9.6,0,2,59,15,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
172,9,9,9,9,6,6,2011,9.6,9.6,0,2,86,25,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
173,9,9,9,9,6,6,2011,9.6,9.6,0,3,68,20,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
174,9,9,9,9,6,6,2011,9.6,9.6,0,3,77,25,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
175,9,9,9,9,6,6,2011,9.6,9.6,0,3,81,20,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
176,9,9,9,9,6,6,2011,9.6,9.6,0,4,108,56,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
177,9,9,9,9,6,6,2012,8.7,9.6,0,2,50,15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
178,8,7,7,9,9,8,2012,8.2,8.7,0,2,87,17,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
179,8,7,7,9,9,8,2012,8.2,8.7,0,2,100,17,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
180,8,7,7,9,9,8,2012,8.2,8.7,0,2,88,17,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
181,8,7,7,9,9,8,2012,8.2,8.7,0,2,108,17,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
182,8,7,7,9,9,8,2012,8.2,8.7,0,2,135,27,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
183,8,7,7,9,9,8,2012,8.2,8.7,0,2,155,27,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
184,8,7,7,9,9,8,2012,8.2,8.7,0,2,135,25,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
185,8,7,7,9,9,8,2012,8.2,8.7,0,2,155,25,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
186,8,7,7,9,9,8,2012,8.2,8.7,0,2,240,57,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
187,8,7,7,9,9,8,2012,8.2,8.7,0,2,260,57,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1
188,9,9,8,9,9,9,2007,8.3,8.8,0,2,80,15,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1
189,9,9,8,9,9,9,2007,8.3,8.8,0,2,100,20,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1
190,9,9,8,9,9,9,2007,8.3,8.8,0,2,120,20,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1
191,10,10,9,8,9,9,2007,9.1,9.4,0,2,55,20,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
192,10,10,9,8,9,9,2007,9.1,9.4,0,2,65,20,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
193,9,9,8,7,8,9,2007,8.1,8.4,0,2,50,15,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
194,9,9,8,7,8,9,2007,8.1,8.4,0,2,58,19,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
195,9,9,8,7,8,9,2007,8.1,8.4,0,2,67,16,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
196,9,9,8,7,8,9,2007,8.1,8.4,0,2,77,20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
197,9,9,8,7,8,9,2007,8.1,8.4,0,2,87,30,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
198,9,9,7,9,9,9,2007,8.6,8.7,0,2,62,18,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
199,9,9,7,9,9,9,2007,8.6,8.7,0,2,92,36,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
200,9,9,7,9,9,9,2007,8.6,8.7,0,2,97,36,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
201,9,9,7,9,9,9,2007,8.6,8.7,1,2,102,36,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
202,9,9,7,9,9,9,2007,8.6,8.7,0,2,112,36,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
203,8,8,6,8,6,8,2010,8.1,9,0,2,40,28,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
